"Year","Province","Normalization","Measure","Value"
2011,"Prince Edward Island","Total ($ M)","Expenditure",2152
2012,"Prince Edward Island","Total ($ M)","Expenditure",2129
2013,"Prince Edward Island","Total ($ M)","Expenditure",2204
2014,"Prince Edward Island","Total ($ M)","Expenditure",2137
2015,"Prince Edward Island","Total ($ M)","Expenditure",2191
2016,"Prince Edward Island","Total ($ M)","Expenditure",2323
2017,"Prince Edward Island","Total ($ M)","Expenditure",2549
2018,"Prince Edward Island","Total ($ M)","Expenditure",2643
2019,"Prince Edward Island","Total ($ M)","Expenditure",2893
2020,"Prince Edward Island","Total ($ M)","Expenditure",3815
2021,"Prince Edward Island","Total ($ M)","Expenditure",3601
2022,"Prince Edward Island","Total ($ M)","Expenditure",4152
2023,"Prince Edward Island","Total ($ M)","Expenditure",3740
2024,"Prince Edward Island","Total ($ M)","Expenditure",4271
1961,"Quebec","Total ($ M)","Expenditure",1449
1962,"Quebec","Total ($ M)","Expenditure",1597
1963,"Quebec","Total ($ M)","Expenditure",1650
1964,"Quebec","Total ($ M)","Expenditure",1803
1965,"Quebec","Total ($ M)","Expenditure",1827
1966,"Quebec","Total ($ M)","Expenditure",2034
1967,"Quebec","Total ($ M)","Expenditure",2367
1968,"Quebec","Total ($ M)","Expenditure",2664
1969,"Quebec","Total ($ M)","Expenditure",2971
1970,"Quebec","Total ($ M)","Expenditure",3447
1971,"Quebec","Total ($ M)","Expenditure",4073
1972,"Quebec","Total ($ M)","Expenditure",4725
1973,"Quebec","Total ($ M)","Expenditure",5126
1974,"Quebec","Total ($ M)","Expenditure",6976
1975,"Quebec","Total ($ M)","Expenditure",8958
1976,"Quebec","Total ($ M)","Expenditure",9392
1977,"Quebec","Total ($ M)","Expenditure",10979
1978,"Quebec","Total ($ M)","Expenditure",12576
1979,"Quebec","Total ($ M)","Expenditure",13453
1980,"Quebec","Total ($ M)","Expenditure",15806
1981,"Quebec","Total ($ M)","Expenditure",19323
1982,"Quebec","Total ($ M)","Expenditure",21893
1983,"Quebec","Total ($ M)","Expenditure",23039
1984,"Quebec","Total ($ M)","Expenditure",25095
1985,"Quebec","Total ($ M)","Expenditure",27052
1986,"Quebec","Total ($ M)","Expenditure",26966
1987,"Quebec","Total ($ M)","Expenditure",28275
1988,"Quebec","Total ($ M)","Expenditure",30377
1989,"Quebec","Total ($ M)","Expenditure",33048
1990,"Quebec","Total ($ M)","Expenditure",36060
1991,"Quebec","Total ($ M)","Expenditure",37752
1992,"Quebec","Total ($ M)","Expenditure",38706
1993,"Quebec","Total ($ M)","Expenditure",40043
1994,"Quebec","Total ($ M)","Expenditure",39486
1995,"Quebec","Total ($ M)","Expenditure",41541
1996,"Quebec","Total ($ M)","Expenditure",39378
1997,"Quebec","Total ($ M)","Expenditure",37480
1998,"Quebec","Total ($ M)","Expenditure",38761
1999,"Quebec","Total ($ M)","Expenditure",39979
2000,"Quebec","Total ($ M)","Expenditure",41440
2001,"Quebec","Total ($ M)","Expenditure",42141
2002,"Quebec","Total ($ M)","Expenditure",41366
2003,"Quebec","Total ($ M)","Expenditure",43145
2004,"Quebec","Total ($ M)","Expenditure",42310
2005,"Quebec","Total ($ M)","Expenditure",46598
2006,"Quebec","Total ($ M)","Expenditure",48124
2007,"Quebec","Total ($ M)","Expenditure",51426
2008,"Quebec","Total ($ M)","Expenditure",55982
2009,"Quebec","Total ($ M)","Expenditure",57413
2010,"Quebec","Total ($ M)","Expenditure",60638
2011,"Quebec","Total ($ M)","Expenditure",60850
2012,"Quebec","Total ($ M)","Expenditure",60353
2013,"Quebec","Total ($ M)","Expenditure",61260
2014,"Quebec","Total ($ M)","Expenditure",62641
2015,"Quebec","Total ($ M)","Expenditure",64456
2016,"Quebec","Total ($ M)","Expenditure",66518
2017,"Quebec","Total ($ M)","Expenditure",71298
2018,"Quebec","Total ($ M)","Expenditure",74976
2019,"Quebec","Total ($ M)","Expenditure",79758
2020,"Quebec","Total ($ M)","Expenditure",124870
2021,"Quebec","Total ($ M)","Expenditure",107992
2022,"Quebec","Total ($ M)","Expenditure",95651
2023,"Quebec","Total ($ M)","Expenditure",102887
2024,"Quebec","Total ($ M)","Expenditure",111529
1961,"Saskatchewan","Total ($ M)","Expenditure",339
1962,"Saskatchewan","Total ($ M)","Expenditure",370
1963,"Saskatchewan","Total ($ M)","Expenditure",338
1964,"Saskatchewan","Total ($ M)","Expenditure",346
1965,"Saskatchewan","Total ($ M)","Expenditure",368
1966,"Saskatchewan","Total ($ M)","Expenditure",426
1967,"Saskatchewan","Total ($ M)","Expenditure",447
1968,"Saskatchewan","Total ($ M)","Expenditure",501
1969,"Saskatchewan","Total ($ M)","Expenditure",567
1970,"Saskatchewan","Total ($ M)","Expenditure",659
1971,"Saskatchewan","Total ($ M)","Expenditure",754
1972,"Saskatchewan","Total ($ M)","Expenditure",887
1973,"Saskatchewan","Total ($ M)","Expenditure",968
1974,"Saskatchewan","Total ($ M)","Expenditure",1146
1975,"Saskatchewan","Total ($ M)","Expenditure",1347
1976,"Saskatchewan","Total ($ M)","Expenditure",1365
1977,"Saskatchewan","Total ($ M)","Expenditure",1555
1978,"Saskatchewan","Total ($ M)","Expenditure",1894
1979,"Saskatchewan","Total ($ M)","Expenditure",2164
1980,"Saskatchewan","Total ($ M)","Expenditure",2281
1981,"Saskatchewan","Total ($ M)","Expenditure",2732
1982,"Saskatchewan","Total ($ M)","Expenditure",3405
1983,"Saskatchewan","Total ($ M)","Expenditure",3918
1984,"Saskatchewan","Total ($ M)","Expenditure",4777
1985,"Saskatchewan","Total ($ M)","Expenditure",5295
1986,"Saskatchewan","Total ($ M)","Expenditure",5813
1987,"Saskatchewan","Total ($ M)","Expenditure",6302
1988,"Saskatchewan","Total ($ M)","Expenditure",6332
1989,"Saskatchewan","Total ($ M)","Expenditure",6214
1990,"Saskatchewan","Total ($ M)","Expenditure",6800
1991,"Saskatchewan","Total ($ M)","Expenditure",7419
1992,"Saskatchewan","Total ($ M)","Expenditure",7427
1993,"Saskatchewan","Total ($ M)","Expenditure",7235
1994,"Saskatchewan","Total ($ M)","Expenditure",7139
1995,"Saskatchewan","Total ($ M)","Expenditure",7149
1996,"Saskatchewan","Total ($ M)","Expenditure",7001
1997,"Saskatchewan","Total ($ M)","Expenditure",6730
1998,"Saskatchewan","Total ($ M)","Expenditure",6967
1999,"Saskatchewan","Total ($ M)","Expenditure",7672
2000,"Saskatchewan","Total ($ M)","Expenditure",7805
2001,"Saskatchewan","Total ($ M)","Expenditure",8004
2002,"Saskatchewan","Total ($ M)","Expenditure",7463
2003,"Saskatchewan","Total ($ M)","Expenditure",8151
2004,"Saskatchewan","Total ($ M)","Expenditure",9018
2005,"Saskatchewan","Total ($ M)","Expenditure",9172
2006,"Saskatchewan","Total ($ M)","Expenditure",9245
2007,"Saskatchewan","Total ($ M)","Expenditure",9150
2008,"Saskatchewan","Total ($ M)","Expenditure",9528
2009,"Saskatchewan","Total ($ M)","Expenditure",9275
2010,"Saskatchewan","Total ($ M)","Expenditure",9670
2011,"Saskatchewan","Total ($ M)","Expenditure",9806
2012,"Saskatchewan","Total ($ M)","Expenditure",9902
2013,"Saskatchewan","Total ($ M)","Expenditure",9868
2014,"Saskatchewan","Total ($ M)","Expenditure",9934
2015,"Saskatchewan","Total ($ M)","Expenditure",10243
2016,"Saskatchewan","Total ($ M)","Expenditure",10827
2017,"Saskatchewan","Total ($ M)","Expenditure",11857
2018,"Saskatchewan","Total ($ M)","Expenditure",12144
2019,"Saskatchewan","Total ($ M)","Expenditure",13462
2020,"Saskatchewan","Total ($ M)","Expenditure",19766
2021,"Saskatchewan","Total ($ M)","Expenditure",17933
2022,"Saskatchewan","Total ($ M)","Expenditure",16918
2023,"Saskatchewan","Total ($ M)","Expenditure",18839
2024,"Saskatchewan","Total ($ M)","Expenditure",24217
1961,"Territories","Total ($ M)","Expenditure",54
1962,"Territories","Total ($ M)","Expenditure",59
1963,"Territories","Total ($ M)","Expenditure",61
1964,"Territories","Total ($ M)","Expenditure",74
1965,"Territories","Total ($ M)","Expenditure",70
1966,"Territories","Total ($ M)","Expenditure",72
1967,"Territories","Total ($ M)","Expenditure",85
1968,"Territories","Total ($ M)","Expenditure",91
1969,"Territories","Total ($ M)","Expenditure",104
1970,"Territories","Total ($ M)","Expenditure",107
1971,"Territories","Total ($ M)","Expenditure",121
1972,"Territories","Total ($ M)","Expenditure",163
1973,"Territories","Total ($ M)","Expenditure",175
1974,"Territories","Total ($ M)","Expenditure",203
1975,"Territories","Total ($ M)","Expenditure",299
1976,"Territories","Total ($ M)","Expenditure",363
1977,"Territories","Total ($ M)","Expenditure",450
1978,"Territories","Total ($ M)","Expenditure",480
1979,"Territories","Total ($ M)","Expenditure",525
1980,"Territories","Total ($ M)","Expenditure",643
1981,"Territories","Total ($ M)","Expenditure",738
1982,"Territories","Total ($ M)","Expenditure",777
1983,"Territories","Total ($ M)","Expenditure",918
1984,"Territories","Total ($ M)","Expenditure",1027
1985,"Territories","Total ($ M)","Expenditure",1223
1986,"Territories","Total ($ M)","Expenditure",1403
1987,"Territories","Total ($ M)","Expenditure",1276
1988,"Territories","Total ($ M)","Expenditure",1458
1989,"Territories","Total ($ M)","Expenditure",1639
1990,"Territories","Total ($ M)","Expenditure",1745
1991,"Territories","Total ($ M)","Expenditure",2072
1992,"Territories","Total ($ M)","Expenditure",1913
1993,"Territories","Total ($ M)","Expenditure",2202
1994,"Territories","Total ($ M)","Expenditure",2045
1995,"Territories","Total ($ M)","Expenditure",1976
1996,"Territories","Total ($ M)","Expenditure",2054
1997,"Territories","Total ($ M)","Expenditure",2075
1998,"Territories","Total ($ M)","Expenditure",2150
1999,"Territories","Total ($ M)","Expenditure",2646
2000,"Territories","Total ($ M)","Expenditure",2545
2001,"Territories","Total ($ M)","Expenditure",2762
2002,"Territories","Total ($ M)","Expenditure",2269
2003,"Territories","Total ($ M)","Expenditure",3042
2004,"Territories","Total ($ M)","Expenditure",3177
2005,"Territories","Total ($ M)","Expenditure",3740
2006,"Territories","Total ($ M)","Expenditure",3609
2007,"Territories","Total ($ M)","Expenditure",3720
2008,"Territories","Total ($ M)","Expenditure",4025
2009,"Territories","Total ($ M)","Expenditure",4284
2010,"Territories","Total ($ M)","Expenditure",4520
2011,"Territories","Total ($ M)","Expenditure",4642
2012,"Territories","Total ($ M)","Expenditure",4764
2013,"Territories","Total ($ M)","Expenditure",4964
2014,"Territories","Total ($ M)","Expenditure",5180
2015,"Territories","Total ($ M)","Expenditure",5308
2016,"Territories","Total ($ M)","Expenditure",5476
2017,"Territories","Total ($ M)","Expenditure",5715
2018,"Territories","Total ($ M)","Expenditure",6240
2019,"Territories","Total ($ M)","Expenditure",6532
2020,"Territories","Total ($ M)","Expenditure",7568
2021,"Territories","Total ($ M)","Expenditure",7575
2022,"Territories","Total ($ M)","Expenditure",7710
2023,"Territories","Total ($ M)","Expenditure",8224
2024,"Territories","Total ($ M)","Expenditure",8958
1961,"Alberta","Real Total ($ M 2022)","Expenditure",4507.10828025478
1962,"Alberta","Real Total ($ M 2022)","Expenditure",4697.66037735849
1963,"Alberta","Real Total ($ M 2022)","Expenditure",4676.86956521739
1964,"Alberta","Real Total ($ M 2022)","Expenditure",4766.48780487805
1965,"Alberta","Real Total ($ M 2022)","Expenditure",4797
1966,"Alberta","Real Total ($ M 2022)","Expenditure",5037.12
1967,"Alberta","Real Total ($ M 2022)","Expenditure",5454.89502762431
1968,"Alberta","Real Total ($ M 2022)","Expenditure",5999.74468085106
1969,"Alberta","Real Total ($ M 2022)","Expenditure",6462.45685279188
1970,"Alberta","Real Total ($ M 2022)","Expenditure",7232.27586206896
1971,"Alberta","Real Total ($ M 2022)","Expenditure",7856.61244019139
1972,"Alberta","Real Total ($ M 2022)","Expenditure",8650.84931506849
1973,"Alberta","Real Total ($ M 2022)","Expenditure",9039.96610169491
1974,"Alberta","Real Total ($ M 2022)","Expenditure",10809.0687022901
1975,"Alberta","Real Total ($ M 2022)","Expenditure",10959.3931034483
1976,"Alberta","Real Total ($ M 2022)","Expenditure",11930.7009646302
1977,"Alberta","Real Total ($ M 2022)","Expenditure",12469.5
1978,"Alberta","Real Total ($ M 2022)","Expenditure",12810.6885245902
1979,"Alberta","Real Total ($ M 2022)","Expenditure",13105.26
1980,"Alberta","Real Total ($ M 2022)","Expenditure",13597.6909090909
1981,"Alberta","Real Total ($ M 2022)","Expenditure",14979.4909090909
1982,"Alberta","Real Total ($ M 2022)","Expenditure",19138.2295081967
1983,"Alberta","Real Total ($ M 2022)","Expenditure",22042.4096385542
1984,"Alberta","Real Total ($ M 2022)","Expenditure",25382.1386138614
1985,"Alberta","Real Total ($ M 2022)","Expenditure",25524
1986,"Alberta","Real Total ($ M 2022)","Expenditure",23124.8414634146
1987,"Alberta","Real Total ($ M 2022)","Expenditure",23284.8
1988,"Alberta","Real Total ($ M 2022)","Expenditure",23433.8764044944
1989,"Alberta","Real Total ($ M 2022)","Expenditure",23858.4705882353
1990,"Alberta","Real Total ($ M 2022)","Expenditure",24386.7857142857
1991,"Alberta","Real Total ($ M 2022)","Expenditure",24957.1304347826
1992,"Alberta","Real Total ($ M 2022)","Expenditure",25875
1993,"Alberta","Real Total ($ M 2022)","Expenditure",24762.5327102804
1994,"Alberta","Real Total ($ M 2022)","Expenditure",24495.4585764294
1995,"Alberta","Real Total ($ M 2022)","Expenditure",24923.8356164384
1996,"Alberta","Real Total ($ M 2022)","Expenditure",23771.905511811
1997,"Alberta","Real Total ($ M 2022)","Expenditure",22833.8761061947
1998,"Alberta","Real Total ($ M 2022)","Expenditure",23503.0711938664
1999,"Alberta","Real Total ($ M 2022)","Expenditure",24369.4036598493
2000,"Alberta","Real Total ($ M 2022)","Expenditure",25767.3962264151
2001,"Alberta","Real Total ($ M 2022)","Expenditure",25815.3128834356
2002,"Alberta","Real Total ($ M 2022)","Expenditure",25103.736
2003,"Alberta","Real Total ($ M 2022)","Expenditure",26732.1011673152
2004,"Alberta","Real Total ($ M 2022)","Expenditure",27240.5501432665
2005,"Alberta","Real Total ($ M 2022)","Expenditure",27868.8448598131
2006,"Alberta","Real Total ($ M 2022)","Expenditure",27124.5316223648
2007,"Alberta","Real Total ($ M 2022)","Expenditure",28485.266367713
2008,"Alberta","Real Total ($ M 2022)","Expenditure",29629.1042944785
2009,"Alberta","Real Total ($ M 2022)","Expenditure",31823.3706293706
2010,"Alberta","Real Total ($ M 2022)","Expenditure",33167.9587982833
2011,"Alberta","Real Total ($ M 2022)","Expenditure",32338.3886572143
2012,"Alberta","Real Total ($ M 2022)","Expenditure",32393.0780608053
2013,"Alberta","Real Total ($ M 2022)","Expenditure",33059.6091205212
2014,"Alberta","Real Total ($ M 2022)","Expenditure",32964.4984025559
2015,"Alberta","Real Total ($ M 2022)","Expenditure",35275.2227488152
2016,"Alberta","Real Total ($ M 2022)","Expenditure",38010.785046729
2017,"Alberta","Real Total ($ M 2022)","Expenditure",40098.1472392638
2018,"Alberta","Real Total ($ M 2022)","Expenditure",39831.1124437781
2019,"Alberta","Real Total ($ M 2022)","Expenditure",41934.6529411765
2020,"Alberta","Real Total ($ M 2022)","Expenditure",75548.1284671533
2021,"Alberta","Real Total ($ M 2022)","Expenditure",62077.4237288136
2022,"Alberta","Real Total ($ M 2022)","Expenditure",50316
2023,"Alberta","Real Total ($ M 2022)","Expenditure",53938.2660725652
2024,"Alberta","Real Total ($ M 2022)","Expenditure",59306.297078931
1961,"British Columbia","Real Total ($ M 2022)","Expenditure",6356.17834394904
1962,"British Columbia","Real Total ($ M 2022)","Expenditure",5943.39622641509
1963,"British Columbia","Real Total ($ M 2022)","Expenditure",6057.39130434783
1964,"British Columbia","Real Total ($ M 2022)","Expenditure",6241.60975609756
1965,"British Columbia","Real Total ($ M 2022)","Expenditure",6543
1966,"British Columbia","Real Total ($ M 2022)","Expenditure",6963.84
1967,"British Columbia","Real Total ($ M 2022)","Expenditure",7534.93922651934
1968,"British Columbia","Real Total ($ M 2022)","Expenditure",8307.95744680851
1969,"British Columbia","Real Total ($ M 2022)","Expenditure",8772.67005076142
1970,"British Columbia","Real Total ($ M 2022)","Expenditure",9943.44827586207
1971,"British Columbia","Real Total ($ M 2022)","Expenditure",11141.0526315789
1972,"British Columbia","Real Total ($ M 2022)","Expenditure",12524.0547945205
1973,"British Columbia","Real Total ($ M 2022)","Expenditure",13146.7118644068
1974,"British Columbia","Real Total ($ M 2022)","Expenditure",14796.8244274809
1975,"British Columbia","Real Total ($ M 2022)","Expenditure",16475.5862068966
1976,"British Columbia","Real Total ($ M 2022)","Expenditure",17978.7009646302
1977,"British Columbia","Real Total ($ M 2022)","Expenditure",18994.5
1978,"British Columbia","Real Total ($ M 2022)","Expenditure",19565.1147540984
1979,"British Columbia","Real Total ($ M 2022)","Expenditure",19606.86
1980,"British Columbia","Real Total ($ M 2022)","Expenditure",20449.8
1981,"British Columbia","Real Total ($ M 2022)","Expenditure",21320.7272727273
1982,"British Columbia","Real Total ($ M 2022)","Expenditure",23919.3442622951
1983,"British Columbia","Real Total ($ M 2022)","Expenditure",25152.2891566265
1984,"British Columbia","Real Total ($ M 2022)","Expenditure",27193.5445544554
1985,"British Columbia","Real Total ($ M 2022)","Expenditure",28951.2
1986,"British Columbia","Real Total ($ M 2022)","Expenditure",28979.2317073171
1987,"British Columbia","Real Total ($ M 2022)","Expenditure",29615.3343065693
